subject_id	object_id
SCDO:0001118	HP:0002138
SCDO:0000906	CMO:0000029
SCDO:0005247	NCIT:C29107
SCDO:0000773	HP:0002427
SCDO:0000841	HP:0010885
SCDO:0000912	ENVO:02500036
SCDO:0000783	HP:0002913
SCDO:1000019	IDO:0000560
SCDO:0001447	NCIT:C113340
SCDO:0001081	NCIT:C29719
SCDO:1000864	UO:0000001
SCDO:0000974	CMO:0001356
SCDO:0000756	SBO:0000316
SCDO:1000400	NCIT:C142664
SCDO:0000962	NCIT:C17049
SCDO:0000603	HP:0000821
SCDO:0003776	HP:0003265
SCDO:0000459	HP:0100820
SCDO:0001313	NCIT:C38060
SCDO:0000458	HP:0000099
SCDO:0000135	CMO:0000036
SCDO:1000055	EUPATH:0000215
SCDO:0000875	NCIT:C78652
SCDO:1000565	OPMI:0000028
